x-axis,3,4,MATH
second,Volt,Volt,Volt
+29.0000E-06,+35.2539062500E+00,+34.6679687500E+00,-585.9375000E-03
+29.1000E-06,+35.3515625000E+00,+34.8632812500E+00,-488.2812500E-03
+29.2000E-06,+35.4492187500E+00,+34.7656250000E+00,-683.5937500E-03
+29.3000E-06,+35.1562500000E+00,+34.7656250000E+00,-390.6250000E-03
+29.4000E-06,+35.3515625000E+00,+35.0585937500E+00,-292.9687500E-03
+29.5000E-06,+35.4492187500E+00,+35.0585937500E+00,-390.6250000E-03
+29.6000E-06,+35.5468750000E+00,+34.9609375000E+00,-585.9375000E-03
+29.7000E-06,+35.6445312500E+00,+35.1562500000E+00,-488.2812500E-03
+29.8000E-06,+35.5468750000E+00,+35.0585937500E+00,-488.2812500E-03
+29.9000E-06,+35.5468750000E+00,+35.2539062500E+00,-292.9687500E-03
+30.0000E-06,+35.9375000000E+00,+35.1562500000E+00,-781.2500000E-03
+30.1000E-06,+35.6445312500E+00,+35.2539062500E+00,-390.6250000E-03
+30.2000E-06,+35.8398437500E+00,+35.2539062500E+00,-585.9375000E-03
+30.3000E-06,+35.9375000000E+00,+35.3515625000E+00,-585.9375000E-03
+30.4000E-06,+35.9375000000E+00,+35.3515625000E+00,-585.9375000E-03
+30.5000E-06,+35.7421875000E+00,+35.2539062500E+00,-488.2812500E-03
+30.6000E-06,+36.2304687500E+00,+35.4492187500E+00,-781.2500000E-03
+30.7000E-06,+36.3281250000E+00,+35.5468750000E+00,-781.2500000E-03
+30.8000E-06,+36.0351562500E+00,+35.5468750000E+00,-488.2812500E-03
+30.9000E-06,+36.1328125000E+00,+35.6445312500E+00,-488.2812500E-03
+31.0000E-06,+36.1328125000E+00,+35.4492187500E+00,-683.5937500E-03
+31.1000E-06,+36.3281250000E+00,+35.6445312500E+00,-683.5937500E-03
+31.2000E-06,+36.5234375000E+00,+35.7421875000E+00,-781.2500000E-03
+31.3000E-06,+36.4257812500E+00,+35.7421875000E+00,-683.5937500E-03
+31.4000E-06,+36.4257812500E+00,+35.7421875000E+00,-683.5937500E-03
+31.5000E-06,+36.5234375000E+00,+35.6445312500E+00,-878.9062500E-03
+31.6000E-06,+36.4257812500E+00,+36.0351562500E+00,-390.6250000E-03
+31.7000E-06,+36.6210937500E+00,+36.1328125000E+00,-488.2812500E-03
+31.8000E-06,+36.6210937500E+00,+35.8398437500E+00,-781.2500000E-03
+31.9000E-06,+36.6210937500E+00,+36.1328125000E+00,-488.2812500E-03
+32.0000E-06,+36.5234375000E+00,+36.2304687500E+00,-292.9687500E-03
+32.1000E-06,+36.7187500000E+00,+36.1328125000E+00,-585.9375000E-03
+32.2000E-06,+36.7187500000E+00,+36.2304687500E+00,-488.2812500E-03
+32.3000E-06,+36.8164062500E+00,+36.1328125000E+00,-683.5937500E-03
+32.4000E-06,+36.8164062500E+00,+36.1328125000E+00,-683.5937500E-03
+32.5000E-06,+36.8164062500E+00,+36.2304687500E+00,-585.9375000E-03
+32.6000E-06,+37.0117187500E+00,+36.2304687500E+00,-781.2500000E-03
+32.7000E-06,+37.1093750000E+00,+36.4257812500E+00,-683.5937500E-03
