x-axis,3,4,MATH
second,Volt,Volt,Volt
+22.800E-06,+32.226562500E+00,+31.738281250E+00,-488.281250E-03
+22.900E-06,+32.324218750E+00,+31.640625000E+00,-683.593750E-03
+23.000E-06,+32.324218750E+00,+31.542968750E+00,-781.250000E-03
+23.100E-06,+32.324218750E+00,+31.542968750E+00,-781.250000E-03
+23.200E-06,+32.324218750E+00,+31.640625000E+00,-683.593750E-03
+23.300E-06,+32.714843750E+00,+31.738281250E+00,-976.562500E-03
+23.400E-06,+32.714843750E+00,+31.640625000E+00,-1.074218750E+00
+23.500E-06,+32.421875000E+00,+31.933593750E+00,-488.281250E-03
+23.600E-06,+32.617187500E+00,+32.031250000E+00,-585.937500E-03
+23.700E-06,+32.421875000E+00,+31.835937500E+00,-585.937500E-03
+23.800E-06,+32.421875000E+00,+31.933593750E+00,-488.281250E-03
+23.900E-06,+32.812500000E+00,+32.031250000E+00,-781.250000E-03
+24.000E-06,+32.714843750E+00,+32.031250000E+00,-683.593750E-03
+24.100E-06,+32.812500000E+00,+32.031250000E+00,-781.250000E-03
+24.200E-06,+32.910156250E+00,+32.324218750E+00,-585.937500E-03
+24.300E-06,+32.910156250E+00,+32.128906250E+00,-781.250000E-03
+24.400E-06,+32.812500000E+00,+32.226562500E+00,-585.937500E-03
+24.500E-06,+33.300781250E+00,+32.617187500E+00,-683.593750E-03
+24.600E-06,+33.105468750E+00,+32.519531250E+00,-585.937500E-03
+24.700E-06,+33.007812500E+00,+32.421875000E+00,-585.937500E-03
+24.800E-06,+33.300781250E+00,+32.519531250E+00,-781.250000E-03
+24.900E-06,+33.203125000E+00,+32.617187500E+00,-585.937500E-03
+25.000E-06,+33.398437500E+00,+32.421875000E+00,-976.562500E-03
+25.100E-06,+33.203125000E+00,+32.519531250E+00,-683.593750E-03
+25.200E-06,+33.398437500E+00,+32.812500000E+00,-585.937500E-03
+25.300E-06,+33.496093750E+00,+32.812500000E+00,-683.593750E-03
+25.400E-06,+33.496093750E+00,+32.714843750E+00,-781.250000E-03
+25.500E-06,+33.496093750E+00,+33.007812500E+00,-488.281250E-03
+25.600E-06,+33.496093750E+00,+33.105468750E+00,-390.625000E-03
+25.700E-06,+33.691406250E+00,+32.910156250E+00,-781.250000E-03
+25.800E-06,+33.496093750E+00,+33.007812500E+00,-488.281250E-03
+25.900E-06,+33.789062500E+00,+33.007812500E+00,-781.250000E-03
+26.000E-06,+33.789062500E+00,+33.105468750E+00,-683.593750E-03
+26.100E-06,+33.789062500E+00,+33.105468750E+00,-683.593750E-03
+26.200E-06,+33.789062500E+00,+33.203125000E+00,-585.937500E-03
+26.300E-06,+33.886718750E+00,+33.496093750E+00,-390.625000E-03
+26.400E-06,+33.789062500E+00,+33.398437500E+00,-390.625000E-03
+26.500E-06,+33.789062500E+00,+33.691406250E+00,-97.656250E-03
+26.600E-06,+33.984375000E+00,+33.496093750E+00,-488.281250E-03
+26.700E-06,+33.984375000E+00,+33.593750000E+00,-390.625000E-03
+26.800E-06,+33.886718750E+00,+33.593750000E+00,-292.968750E-03
+26.900E-06,+34.179687500E+00,+33.496093750E+00,-683.593750E-03
+27.000E-06,+34.082031250E+00,+33.593750000E+00,-488.281250E-03
+27.100E-06,+33.984375000E+00,+33.789062500E+00,-195.312500E-03
+27.200E-06,+34.277343750E+00,+33.886718750E+00,-390.625000E-03
+27.300E-06,+34.179687500E+00,+33.886718750E+00,-292.968750E-03
+27.400E-06,+34.375000000E+00,+33.691406250E+00,-683.593750E-03
+27.500E-06,+34.375000000E+00,+33.886718750E+00,-488.281250E-03
+27.600E-06,+34.277343750E+00,+34.082031250E+00,-195.312500E-03
+27.700E-06,+34.375000000E+00,+33.886718750E+00,-488.281250E-03
+27.800E-06,+34.765625000E+00,+34.082031250E+00,-683.593750E-03
+27.900E-06,+34.472656250E+00,+34.082031250E+00,-390.625000E-03
+28.000E-06,+34.570312500E+00,+34.082031250E+00,-488.281250E-03
+28.100E-06,+34.570312500E+00,+34.277343750E+00,-292.968750E-03
+28.200E-06,+34.667968750E+00,+34.179687500E+00,-488.281250E-03
+28.300E-06,+34.863281250E+00,+34.277343750E+00,-585.937500E-03
+28.400E-06,+34.863281250E+00,+34.277343750E+00,-585.937500E-03
+28.500E-06,+34.960937500E+00,+34.179687500E+00,-781.250000E-03
+28.600E-06,+35.058593750E+00,+34.570312500E+00,-488.281250E-03
+28.700E-06,+35.058593750E+00,+34.765625000E+00,-292.968750E-03
+28.800E-06,+35.058593750E+00,+34.472656250E+00,-585.937500E-03
+28.900E-06,+35.058593750E+00,+34.570312500E+00,-488.281250E-03
+29.000E-06,+35.058593750E+00,+34.570312500E+00,-488.281250E-03
+29.100E-06,+35.058593750E+00,+34.667968750E+00,-390.625000E-03
+29.200E-06,+35.156250000E+00,+34.570312500E+00,-585.937500E-03
+29.300E-06,+35.351562500E+00,+34.863281250E+00,-488.281250E-03
+29.400E-06,+35.351562500E+00,+34.863281250E+00,-488.281250E-03
+29.500E-06,+35.351562500E+00,+34.765625000E+00,-585.937500E-03
+29.600E-06,+35.449218750E+00,+35.156250000E+00,-292.968750E-03
+29.700E-06,+35.253906250E+00,+34.765625000E+00,-488.281250E-03
+29.800E-06,+35.449218750E+00,+34.863281250E+00,-585.937500E-03
+29.900E-06,+35.546875000E+00,+35.156250000E+00,-390.625000E-03
+30.000E-06,+35.351562500E+00,+35.156250000E+00,-195.312500E-03
+30.100E-06,+35.546875000E+00,+35.058593750E+00,-488.281250E-03
+30.200E-06,+35.449218750E+00,+35.351562500E+00,-97.656250E-03
+30.300E-06,+35.546875000E+00,+35.449218750E+00,-97.656250E-03
+30.400E-06,+35.644531250E+00,+35.351562500E+00,-292.968750E-03
+30.500E-06,+35.742187500E+00,+35.546875000E+00,-195.312500E-03
+30.600E-06,+35.742187500E+00,+35.351562500E+00,-390.625000E-03
+30.700E-06,+35.839843750E+00,+35.449218750E+00,-390.625000E-03
+30.800E-06,+35.839843750E+00,+35.351562500E+00,-488.281250E-03
