x-axis,3,4,MATH
second,Volt,Volt,Volt
-62.0000E-06,-6.0546875000E+00,-7.6171875000E+00,-1.5625000000E+00
-61.8000E-06,-6.0546875000E+00,-7.6171875000E+00,-1.5625000000E+00
-61.6000E-06,-5.9570312500E+00,-7.6171875000E+00,-1.6601562500E+00
-61.4000E-06,-5.8593750000E+00,-7.6171875000E+00,-1.7578125000E+00
-61.2000E-06,-5.8593750000E+00,-7.5195312500E+00,-1.6601562500E+00
-61.0000E-06,-5.9570312500E+00,-7.2265625000E+00,-1.2695312500E+00
-60.8000E-06,-5.7617187500E+00,-7.2265625000E+00,-1.4648437500E+00
-60.6000E-06,-5.5664062500E+00,-7.1289062500E+00,-1.5625000000E+00
-60.4000E-06,-5.3710937500E+00,-6.9335937500E+00,-1.5625000000E+00
-60.2000E-06,-5.3710937500E+00,-7.0312500000E+00,-1.6601562500E+00
-60.0000E-06,-5.0781250000E+00,-6.7382812500E+00,-1.6601562500E+00
-59.8000E-06,-4.9804687500E+00,-6.6406250000E+00,-1.6601562500E+00
-59.6000E-06,-4.9804687500E+00,-6.7382812500E+00,-1.7578125000E+00
-59.4000E-06,-4.8828125000E+00,-6.6406250000E+00,-1.7578125000E+00
-59.2000E-06,-4.6875000000E+00,-6.4453125000E+00,-1.7578125000E+00
-59.0000E-06,-4.6875000000E+00,-6.3476562500E+00,-1.6601562500E+00
-58.8000E-06,-4.7851562500E+00,-6.3476562500E+00,-1.5625000000E+00
-58.6000E-06,-4.4921875000E+00,-6.2500000000E+00,-1.7578125000E+00
-58.4000E-06,-4.4921875000E+00,-5.9570312500E+00,-1.4648437500E+00
-58.2000E-06,-4.3945312500E+00,-6.1523437500E+00,-1.7578125000E+00
-58.0000E-06,-4.1992187500E+00,-5.9570312500E+00,-1.7578125000E+00
-57.8000E-06,-4.2968750000E+00,-5.9570312500E+00,-1.6601562500E+00
-57.6000E-06,-4.1015625000E+00,-5.8593750000E+00,-1.7578125000E+00
-57.4000E-06,-3.9062500000E+00,-5.7617187500E+00,-1.8554687500E+00
-57.2000E-06,-3.9062500000E+00,-5.4687500000E+00,-1.5625000000E+00
-57.0000E-06,-3.8085937500E+00,-5.5664062500E+00,-1.7578125000E+00
-56.8000E-06,-3.6132812500E+00,-5.4687500000E+00,-1.8554687500E+00
-56.6000E-06,-3.7109375000E+00,-5.3710937500E+00,-1.6601562500E+00
-56.4000E-06,-3.6132812500E+00,-5.2734375000E+00,-1.6601562500E+00
-56.2000E-06,-3.6132812500E+00,-5.2734375000E+00,-1.6601562500E+00
-56.0000E-06,-3.5156250000E+00,-5.0781250000E+00,-1.5625000000E+00
-55.8000E-06,-3.2226562500E+00,-5.0781250000E+00,-1.8554687500E+00
-55.6000E-06,-3.2226562500E+00,-4.9804687500E+00,-1.7578125000E+00
-55.4000E-06,-3.0273437500E+00,-4.8828125000E+00,-1.8554687500E+00
-55.2000E-06,-3.2226562500E+00,-4.7851562500E+00,-1.5625000000E+00
-55.0000E-06,-3.0273437500E+00,-4.7851562500E+00,-1.7578125000E+00
-54.8000E-06,-3.0273437500E+00,-4.6875000000E+00,-1.6601562500E+00
-54.6000E-06,-2.9296875000E+00,-4.6875000000E+00,-1.7578125000E+00
-54.4000E-06,-2.9296875000E+00,-4.2968750000E+00,-1.3671875000E+00
-54.2000E-06,-2.7343750000E+00,-4.1992187500E+00,-1.4648437500E+00
-54.0000E-06,-2.6367187500E+00,-4.2968750000E+00,-1.6601562500E+00
-53.8000E-06,-2.5390625000E+00,-4.1992187500E+00,-1.6601562500E+00
-53.6000E-06,-2.4414062500E+00,-4.1992187500E+00,-1.7578125000E+00
-53.4000E-06,-2.4414062500E+00,-4.0039062500E+00,-1.5625000000E+00
-53.2000E-06,-2.3437500000E+00,-4.0039062500E+00,-1.6601562500E+00
-53.0000E-06,-2.3437500000E+00,-3.8085937500E+00,-1.4648437500E+00
